0,1,2,3,4,134500
0,1,2,4,3,182000
0,1,3,2,4,168500
0,1,3,4,2,142250
0,1,4,2,3,153000
0,1,4,3,2,104250
0,2,1,3,4,175250
0,2,1,4,3,148000
0,2,3,1,4,155000
0,2,3,4,1,131500
0,2,4,1,3,212500
0,2,4,3,1,202750
0,3,1,2,4,143750
0,3,1,4,2,119250
0,3,2,1,4,97000
0,3,2,4,1,133500
0,3,4,1,2,69750
0,3,4,2,1,99750
0,4,1,2,3,118500
0,4,1,3,2,123750
0,4,2,1,3,181000
0,4,2,3,1,174250
0,4,3,1,2,98750
0,4,3,2,1,94250
1,0,2,3,4,144000
1,0,2,4,3,191500
1,0,3,2,4,154000
1,0,3,4,2,127750
1,0,4,2,3,167000
1,0,4,3,2,118250
1,2,0,3,4,151750
1,2,0,4,3,186250
1,2,3,0,4,162000
1,2,3,4,0,182000
1,2,4,0,3,207000
1,2,4,3,0,193500
1,3,0,2,4,164250
1,3,0,4,2,145000
1,3,2,0,4,160000
1,3,2,4,0,204000
1,3,4,0,2,123750
1,3,4,2,0,158500
1,4,0,2,3,146750
1,4,0,3,2,116000
1,4,2,0,3,163500
1,4,2,3,0,164000
1,4,3,0,2,105250
1,4,3,2,0,132000
2,0,1,3,4,189500
2,0,1,4,3,162250
2,0,3,1,4,164750
2,0,3,4,1,141250
2,0,4,1,3,213250
2,0,4,3,1,203500
2,1,0,3,4,147000
2,1,0,4,3,181500
2,1,3,0,4,195750
2,1,3,4,0,215750
2,1,4,0,3,177500
2,1,4,3,0,164000
2,3,0,1,4,126000
2,3,0,4,1,147500
2,3,1,0,4,178000
2,3,1,4,0,195000
2,3,4,0,1,149500
2,3,4,1,0,138000
2,4,0,1,3,229000
2,4,0,3,1,216250
2,4,1,0,3,167000
2,4,1,3,0,216500
2,4,3,0,1,157000
2,4,3,1,0,197750
3,0,1,2,4,129500
3,0,1,4,2,105000
3,0,2,1,4,93250
3,0,2,4,1,129750
3,0,4,1,2,69000
3,0,4,2,1,99000
3,1,0,2,4,143000
3,1,0,4,2,123750
3,1,2,0,4,136250
3,1,2,4,0,180250
3,1,4,0,2,101250
3,1,4,2,0,136000
3,2,0,1,4,108000
3,2,0,4,1,129500
3,2,1,0,4,128000
3,2,1,4,0,145000
3,2,4,0,1,147500
3,2,4,1,0,136000
3,4,0,1,2,69250
3,4,0,2,1,85750
3,4,1,0,2,75750
3,4,1,2,0,98500
3,4,2,0,1,106000
3,4,2,1,0,102750
4,0,1,2,3,118500
4,0,1,3,2,123750
4,0,2,1,3,169750
4,0,2,3,1,163000
4,0,3,1,2,97500
4,0,3,2,1,93000
4,1,0,2,3,125750
4,1,0,3,2,95000
4,1,2,0,3,132000
4,1,2,3,0,132500
4,1,3,0,2,115750
4,1,3,2,0,142500
4,2,0,1,3,188500
4,2,0,3,1,175750
4,2,1,0,3,134000
4,2,1,3,0,183500
4,2,3,0,1,126500
4,2,3,1,0,167250
4,3,0,1,2,69750
4,3,0,2,1,86250
4,3,1,0,2,95250
4,3,1,2,0,118000
4,3,2,0,1,102500
4,3,2,1,0,99250
